电视剧名称,一级,二级,正向,负向
异人之下之决战！碧游村,艺术精湛,人物塑造,636.0,509.0
异人之下之决战！碧游村,艺术精湛,剧情结构,150.0,484.0
异人之下之决战！碧游村,艺术精湛,表演质量,660.0,408.0
异人之下之决战！碧游村,艺术精湛,语言表达,28.0,37.0
异人之下之决战！碧游村,艺术精湛,镜头语言,56.0,33.0
异人之下之决战！碧游村,艺术精湛,音乐音效,37.0,20.0
护宝寻踪,制作精良,剪辑节奏,4.0,5.0
护宝寻踪,制作精良,后期质量,7.0,12.0
护宝寻踪,制作精良,场景设置,18.0,8.0
护宝寻踪,制作精良,服道化,15.0,11.0
护宝寻踪,制作精良,特效技术,1.0,0.0
护宝寻踪,思想精深,主题立意,112.0,26.0
护宝寻踪,思想精深,价值导向,40.0,58.0
护宝寻踪,思想精深,思想深度,26.0,12.0
护宝寻踪,思想精深,社会反思,87.0,42.0
护宝寻踪,整体评价,无具体指向,112.0,91.0
护宝寻踪,艺术精湛,人物塑造,228.0,316.0
护宝寻踪,艺术精湛,剧情结构,89.0,418.0
护宝寻踪,艺术精湛,表演质量,211.0,134.0
护宝寻踪,艺术精湛,语言表达,53.0,42.0
护宝寻踪,艺术精湛,镜头语言,6.0,1.0
护宝寻踪,艺术精湛,音乐音效,3.0,4.0
无尽的尽头,制作精良,剪辑节奏,13.0,9.0
无尽的尽头,制作精良,后期质量,16.0,4.0
无尽的尽头,制作精良,场景设置,6.0,11.0
无尽的尽头,制作精良,服道化,7.0,12.0
无尽的尽头,制作精良,特效技术,1.0,0.0
无尽的尽头,思想精深,主题立意,338.0,28.0
无尽的尽头,思想精深,价值导向,195.0,44.0
无尽的尽头,思想精深,思想深度,139.0,17.0
无尽的尽头,思想精深,社会反思,495.0,77.0
无尽的尽头,整体评价,无具体指向,254.0,61.0
无尽的尽头,艺术精湛,人物塑造,302.0,172.0
无尽的尽头,艺术精湛,剧情结构,150.0,250.0
无尽的尽头,艺术精湛,表演质量,304.0,51.0
无尽的尽头,艺术精湛,语言表达,58.0,25.0
无尽的尽头,艺术精湛,镜头语言,43.0,11.0
无尽的尽头,艺术精湛,音乐音效,18.0,3.0
无忧渡,制作精良,剪辑节奏,24.0,28.0
无忧渡,制作精良,后期质量,126.0,40.0
无忧渡,制作精良,场景设置,216.0,8.0
无忧渡,制作精良,服道化,340.0,30.0
无忧渡,制作精良,特效技术,163.0,30.0
无忧渡,思想精深,主题立意,806.0,68.0
无忧渡,思想精深,价值导向,269.0,45.0
无忧渡,思想精深,思想深度,557.0,20.0
无忧渡,思想精深,社会反思,235.0,27.0
无忧渡,整体评价,无具体指向,1458.0,319.0
无忧渡,艺术精湛,人物塑造,1303.0,320.0
无忧渡,艺术精湛,剧情结构,1025.0,827.0
无忧渡,艺术精湛,表演质量,1135.0,223.0
无忧渡,艺术精湛,语言表达,205.0,57.0
无忧渡,艺术精湛,镜头语言,367.0,11.0
无忧渡,艺术精湛,音乐音效,192.0,14.0
无所畏惧之永不放弃,制作精良,剪辑节奏,3.0,1.0
无所畏惧之永不放弃,制作精良,后期质量,1.0,0.0
无所畏惧之永不放弃,制作精良,场景设置,5.0,1.0
无所畏惧之永不放弃,制作精良,服道化,5.0,7.0
无所畏惧之永不放弃,思想精深,主题立意,78.0,25.0
无所畏惧之永不放弃,思想精深,价值导向,45.0,71.0
无所畏惧之永不放弃,思想精深,思想深度,62.0,10.0
无所畏惧之永不放弃,思想精深,社会反思,169.0,52.0
无所畏惧之永不放弃,整体评价,无具体指向,129.0,92.0
无所畏惧之永不放弃,艺术精湛,人物塑造,346.0,511.0
无所畏惧之永不放弃,艺术精湛,剧情结构,103.0,434.0
无所畏惧之永不放弃,艺术精湛,表演质量,179.0,96.0
无所畏惧之永不放弃,艺术精湛,语言表达,29.0,32.0
无所畏惧之永不放弃,艺术精湛,镜头语言,7.0,3.0
无所畏惧之永不放弃,艺术精湛,音乐音效,1.0,0.0
树下有片红房子,制作精良,剪辑节奏,10.0,10.0
树下有片红房子,制作精良,后期质量,15.0,6.0
树下有片红房子,制作精良,场景设置,26.0,4.0
树下有片红房子,制作精良,服道化,11.0,6.0
树下有片红房子,思想精深,主题立意,233.0,12.0
树下有片红房子,思想精深,价值导向,192.0,5.0
树下有片红房子,思想精深,思想深度,91.0,3.0
树下有片红房子,思想精深,社会反思,250.0,15.0
树下有片红房子,整体评价,无具体指向,418.0,73.0
树下有片红房子,艺术精湛,人物塑造,595.0,146.0
树下有片红房子,艺术精湛,剧情结构,181.0,170.0
树下有片红房子,艺术精湛,表演质量,272.0,54.0
树下有片红房子,艺术精湛,语言表达,71.0,11.0
树下有片红房子,艺术精湛,镜头语言,94.0,6.0
树下有片红房子,艺术精湛,音乐音效,49.0,1.0
棋士,制作精良,剪辑节奏,13.0,36.0
棋士,制作精良,后期质量,17.0,23.0
棋士,制作精良,场景设置,30.0,15.0
棋士,制作精良,服道化,35.0,29.0
棋士,制作精良,特效技术,0.0,2.0
棋士,思想精深,主题立意,217.0,38.0
棋士,思想精深,价值导向,26.0,31.0
棋士,思想精深,思想深度,233.0,12.0
棋士,思想精深,社会反思,191.0,24.0
棋士,整体评价,无具体指向,292.0,211.0
棋士,艺术精湛,人物塑造,458.0,425.0
棋士,艺术精湛,剧情结构,457.0,1057.0
棋士,艺术精湛,表演质量,366.0,115.0
棋士,艺术精湛,语言表达,34.0,31.0
棋士,艺术精湛,镜头语言,82.0,23.0
棋士,艺术精湛,音乐音效,24.0,9.0
沙尘暴,制作精良,剪辑节奏,11.0,15.0
沙尘暴,制作精良,后期质量,8.0,12.0
沙尘暴,制作精良,场景设置,41.0,5.0
沙尘暴,制作精良,服道化,9.0,11.0
沙尘暴,制作精良,特效技术,0.0,3.0
沙尘暴,思想精深,主题立意,314.0,39.0
沙尘暴,思想精深,价值导向,49.0,76.0
沙尘暴,思想精深,思想深度,331.0,26.0
沙尘暴,思想精深,社会反思,553.0,63.0
沙尘暴,整体评价,无具体指向,208.0,112.0
沙尘暴,艺术精湛,人物塑造,711.0,527.0
沙尘暴,艺术精湛,剧情结构,225.0,675.0
沙尘暴,艺术精湛,表演质量,290.0,168.0
沙尘暴,艺术精湛,语言表达,40.0,25.0
沙尘暴,艺术精湛,镜头语言,90.0,24.0
沙尘暴,艺术精湛,音乐音效,39.0,9.0
滤镜,制作精良,剪辑节奏,58.0,23.0
滤镜,制作精良,后期质量,144.0,16.0
滤镜,制作精良,场景设置,46.0,6.0
滤镜,制作精良,服道化,144.0,35.0
滤镜,制作精良,特效技术,76.0,10.0
滤镜,思想精深,主题立意,1495.0,60.0
滤镜,思想精深,价值导向,1201.0,112.0
滤镜,思想精深,思想深度,589.0,28.0
滤镜,思想精深,社会反思,917.0,87.0
滤镜,整体评价,无具体指向,2064.0,143.0
滤镜,艺术精湛,人物塑造,2110.0,372.0
滤镜,艺术精湛,剧情结构,1692.0,460.0
滤镜,艺术精湛,表演质量,1879.0,86.0
滤镜,艺术精湛,语言表达,424.0,21.0
滤镜,艺术精湛,镜头语言,261.0,14.0
滤镜,艺术精湛,音乐音效,148.0,4.0
致1999年的自己,制作精良,剪辑节奏,0.0,5.0
致1999年的自己,制作精良,后期质量,2.0,4.0
致1999年的自己,制作精良,场景设置,15.0,9.0
致1999年的自己,制作精良,服道化,14.0,19.0
致1999年的自己,思想精深,主题立意,86.0,19.0
致1999年的自己,思想精深,价值导向,50.0,30.0
致1999年的自己,思想精深,思想深度,34.0,6.0
致1999年的自己,思想精深,社会反思,187.0,28.0
致1999年的自己,整体评价,无具体指向,176.0,91.0
致1999年的自己,艺术精湛,人物塑造,423.0,372.0
致1999年的自己,艺术精湛,剧情结构,87.0,275.0
致1999年的自己,艺术精湛,表演质量,209.0,90.0
致1999年的自己,艺术精湛,语言表达,32.0,6.0
致1999年的自己,艺术精湛,镜头语言,25.0,6.0
致1999年的自己,艺术精湛,音乐音效,12.0,2.0
藏海传,制作精良,剪辑节奏,109.0,31.0
藏海传,制作精良,后期质量,286.0,41.0
藏海传,制作精良,场景设置,876.0,35.0
藏海传,制作精良,服道化,1546.0,63.0
藏海传,制作精良,特效技术,91.0,36.0
藏海传,思想精深,主题立意,2182.0,161.0
藏海传,思想精深,价值导向,541.0,58.0
藏海传,思想精深,思想深度,1462.0,52.0
藏海传,思想精深,社会反思,582.0,23.0
藏海传,整体评价,无具体指向,3773.0,613.0
藏海传,艺术精湛,人物塑造,4486.0,1001.0
藏海传,艺术精湛,剧情结构,4744.0,2395.0
藏海传,艺术精湛,表演质量,4767.0,519.0
藏海传,艺术精湛,语言表达,554.0,61.0
藏海传,艺术精湛,镜头语言,1103.0,34.0
藏海传,艺术精湛,音乐音效,381.0,7.0
锦囊妙录,制作精良,剪辑节奏,4.0,9.0
锦囊妙录,制作精良,后期质量,14.0,8.0
锦囊妙录,制作精良,场景设置,63.0,5.0
锦囊妙录,制作精良,服道化,133.0,25.0
锦囊妙录,制作精良,特效技术,1.0,3.0
锦囊妙录,思想精深,主题立意,123.0,38.0
锦囊妙录,思想精深,价值导向,89.0,42.0
锦囊妙录,思想精深,思想深度,31.0,5.0
锦囊妙录,思想精深,社会反思,118.0,27.0
锦囊妙录,整体评价,无具体指向,216.0,97.0
锦囊妙录,艺术精湛,人物塑造,395.0,348.0
锦囊妙录,艺术精湛,剧情结构,152.0,541.0
锦囊妙录,艺术精湛,表演质量,208.0,89.0
锦囊妙录,艺术精湛,语言表达,33.0,17.0
锦囊妙录,艺术精湛,镜头语言,29.0,7.0
锦囊妙录,艺术精湛,音乐音效,18.0,3.0
鹊刀门传奇 第二季,制作精良,剪辑节奏,13.0,25.0
鹊刀门传奇 第二季,制作精良,后期质量,15.0,7.0
鹊刀门传奇 第二季,制作精良,场景设置,10.0,2.0
鹊刀门传奇 第二季,制作精良,服道化,38.0,7.0
鹊刀门传奇 第二季,制作精良,特效技术,10.0,7.0
鹊刀门传奇 第二季,思想精深,主题立意,60.0,11.0
鹊刀门传奇 第二季,思想精深,价值导向,41.0,18.0
鹊刀门传奇 第二季,思想精深,思想深度,21.0,2.0
鹊刀门传奇 第二季,思想精深,社会反思,53.0,12.0
鹊刀门传奇 第二季,整体评价,无具体指向,267.0,101.0
鹊刀门传奇 第二季,艺术精湛,人物塑造,228.0,88.0
鹊刀门传奇 第二季,艺术精湛,剧情结构,105.0,210.0
鹊刀门传奇 第二季,艺术精湛,表演质量,160.0,31.0
鹊刀门传奇 第二季,艺术精湛,语言表达,108.0,24.0
鹊刀门传奇 第二季,艺术精湛,镜头语言,46.0,3.0
鹊刀门传奇 第二季,艺术精湛,音乐音效,28.0,4.0
黄雀,制作精良,剪辑节奏,15.0,42.0
黄雀,制作精良,后期质量,3.0,16.0
黄雀,制作精良,场景设置,21.0,15.0
黄雀,制作精良,服道化,4.0,17.0
黄雀,制作精良,特效技术,0.0,15.0
黄雀,思想精深,主题立意,94.0,27.0
黄雀,思想精深,价值导向,13.0,39.0
黄雀,思想精深,思想深度,58.0,5.0
黄雀,思想精深,社会反思,112.0,37.0
黄雀,整体评价,无具体指向,105.0,132.0
黄雀,艺术精湛,人物塑造,201.0,260.0
黄雀,艺术精湛,剧情结构,149.0,770.0
黄雀,艺术精湛,表演质量,158.0,47.0
黄雀,艺术精湛,语言表达,11.0,11.0
黄雀,艺术精湛,镜头语言,40.0,29.0
黄雀,艺术精湛,音乐音效,7.0,3.0
